filepath,label
dridex_trj\VirusShare_4444f58efb308bdee16b87cad191ca90.png,11
worm_win_hash\VirusShare_15bef7d30ea41f5c45d9e8f718f77408.png,45
trj_tzl\VirusShare_7f29d83908025f6fd6df65db4f22d152.png,36
adware_multiplug\VirusShare_5e7a0d1b11197afc672bd90d2935bdaa.png,5
emotet_trj\VirusShare_5000dc59dabe2fd9e84153898a63b04a.png,13
emotet_trj\VirusShare_5a4779d5b11b57815d39becfdc8756d3.png,13
dridex_trj\VirusShare_7badf41aa002175afa715a3b31dadbac.png,11
dridex_trj\VirusShare_17458b9f9c4bb8a83b1f8b61d4e1ecdc.png,11
dridex_trj\VirusShare_7c8f0d5582be1820c70b454fecdbdb5e.png,11
trj_wannacry\VirusShare_3025108ad7f51d5890b2a298069ae2e0.png,39
adware_multiplug\VirusShare_b1c572bc9f3fc8e852637f43aa0e4ca5.png,5
trj_swisyn\VirusShare_bfaf526c7323d0393b6386b1d9a64f54.png,34
dridex_trj\VirusShare_0d60d08d8cffba48a93c186e8871d905.png,11
adware_softpulse\VirusShare_90d7cc209777744b8c8e204eea4b8fd5.png,6
trj_tzl\VirusShare_ad8cb322ab0621f55f9ec040015f995f.png,36
adware_multiplug\VirusShare_5a3d1100cd7610d5c75f0846e43b62a7.png,5
allaple_worm\VirusShare_c2415fd564085d3d404e74bd7a070e00.png,7
adware_imali\VirusShare_a1e8f1aa85e7f2c5d9eaf3cdcc3f7cc4.png,3
ekstak_trj\VirusShare_43e5f5f24a9070067d6b91587b30f619.png,12
dridex_trj\VirusShare_dbbda3ea06a43cf5a035c176eb6bfabd.png,11
trj_tzl\VirusShare_f8e48edb06fb0b2e6189ca84c1add53f.png,36
trj_tzl\VirusShare_143f2cee25797c07285bed35d8010146.png,36
trj_swisyn\VirusShare_4e5f2572ddd313a75309bc4cad5c478d_13.png,34
antifw_trj\VirusShare_b2336f8e9e4733b2d10dc0e2cdfa7e2d.png,8
dridex_trj\VirusShare_c758c4eb669a742ac3cde8b21696eff3.png,11
adware_imali\VirusShare_a90b42764ee82df9f0692840b3ec05af.png,3
trj_wannacry\VirusShare_23828d9170421cd63de8954e25802c55_2.png,39
trj_wannacry\VirusShare_07be089e64ac673d1941f77dbe48ef37.png,39
emotet_trj\VirusShare_30ade936a652f20ca64c354e5065c320.png,13
dridex_trj\VirusShare_09e5576b1f88605b7ea3a5d2db4a6010.png,11
trj_wannacry\VirusShare_d77d1bf0a2dc7ae6d5deea7c6969ef36.png,39
trj_wannacry\VirusShare_6019003c430f172d6700a0cac426ab29.png,39
trj_tzl\VirusShare_8834ae049b3cb437d2d7087fff354a9b.png,36
trj_wannacry\VirusShare_588688e2ebe8db3df60afd969c2c3e8b.png,39
worm_win_hash\VirusShare_c2091f18201f90702a74dc939252e330.png,45
allaple_worm\VirusShare_a1d7915022ad6598e76649ce9d308070.png,7
trj_qakbot\VirusShare_9726252f1c70fb177b002eadc1dc2fae.png,31
dridex_trj\VirusShare_8e85398a1734fa2234aa0fab3656782e.png,11
trj_tzl\VirusShare_79560927994bdd8dd356d5d4d3a909d6.png,36
antifw_trj\VirusShare_04a10de6a11b0082a861fa00f7c59d7b.png,8
antifw_trj\VirusShare_4eeec90d5c548fb654ca718665916b83.png,8
emotet_trj\VirusShare_9f29a4936ce1a1acf0cf65240af43efb.png,13
dridex_trj\VirusShare_7ee87cdca3f82a2dca990bc07342a9ad.png,11
startpage_trj\VirusShare_dd03fcb6d3a98db1f68dbcb78e832f75.png,25
dridex_trj\VirusShare_97ae5fa1fd881bc40676a503f4ddd5c5.png,11
lokibot_trj\fb14a5a064b165c664f7bc926a71395162ced1443210a329bbd49ce9c913aa74.png,17
